t;VA_Fibonacci;VA_Lagrange;VB_Fibonacci;VB_Lagrange;TB_Fibonacci;TB_Lagrange
319; 2,60805; 2,60804; 2,28688; 2,28689; 49,8337; 49,8337; 
320; 2,60176; 2,60176; 2,28804; 2,28805; 49,8274; 49,8274; 
321; 2,59549; 2,59548; 2,28919; 2,2892; 49,821; 49,821; 
322; 2,58922; 2,58921; 2,29033; 2,29033; 49,8144; 49,8145; 
323; 2,58295; 2,58295; 2,29146; 2,29146; 49,8078; 49,8079; 
324; 2,5767; 2,57669; 2,29257; 2,29258; 49,8011; 49,8012; 
325; 2,57045; 2,57045; 2,29368; 2,29368; 49,7943; 49,7944; 
326; 2,56421; 2,56421; 2,29477; 2,29477; 49,7875; 49,7875; 
327; 2,55798; 2,55797; 2,29585; 2,29586; 49,7805; 49,7805; 
328; 2,55176; 2,55175; 2,29692; 2,29693; 49,7734; 49,7734; 
329; 2,54554; 2,54553; 2,29798; 2,29799; 49,7662; 49,7662; 
330; 2,53933; 2,53932; 2,29903; 2,29903; 49,7589; 49,759; 
331; 2,53313; 2,53312; 2,30007; 2,30007; 49,7515; 49,7516; 
332; 2,52693; 2,52693; 2,30109; 2,3011; 49,7441; 49,7441; 
333; 2,52075; 2,52074; 2,30211; 2,30211; 49,7365; 49,7365; 
334; 2,51457; 2,51456; 2,30311; 2,30312; 49,7288; 49,7289; 
335; 2,5084; 2,50839; 2,30411; 2,30411; 49,7211; 49,7211; 
336; 2,50223; 2,50223; 2,30509; 2,30509; 49,7133; 49,7133; 
337; 2,49608; 2,49607; 2,30606; 2,30607; 49,7053; 49,7054; 
338; 2,48993; 2,48992; 2,30702; 2,30703; 49,6973; 49,6974; 
339; 2,48379; 2,48378; 2,30797; 2,30798; 49,6892; 49,6893; 
340; 2,47765; 2,47765; 2,30891; 2,30892; 49,681; 49,6811; 
341; 2,47153; 2,47152; 2,30984; 2,30985; 49,6727; 49,6728; 
342; 2,46541; 2,4654; 2,31076; 2,31077; 49,6644; 49,6644; 
343; 2,4593; 2,45929; 2,31167; 2,31167; 49,6559; 49,656; 
344; 2,4532; 2,45319; 2,31257; 2,31257; 49,6474; 49,6474; 
345; 2,4471; 2,44709; 2,31345; 2,31346; 49,6388; 49,6388; 
346; 2,44101; 2,44101; 2,31433; 2,31434; 49,63; 49,6301; 
