Dlugosc kroku,Lp.,x1(0),x2(0),Metoda najszybszego spadku,,,,,,Metoda gradientow sprzezonych,,,,,,Metoda Newtona,,,,,,
,,,,x1*,x2*,y*,f_calls,g_calls,MinGlob,x1*,x2*,y*,f_calls,g_calls,MinGlob,x1*,x2*,y*,f_calls,g_calls,H_calls,MinGlob
,87,-1.68696,-0.0709079,-1.7467,0.865038,0.298712,48,47,NIE,-1.74729,0.871592,0.298643,19,18,NIE,-1.74755,0.873757,0.298638,212,211,211,NIE
,88,-0.211338,1.04866,-0.0043502,0.0105004,0.000102427,56,55,TAK,-0.00114071,0.00236105,5.48372e-06,21,20,TAK,-3.40546e-06,1.78225e-05,2.80141e-10,215,214,214,TAK
,89,-0.691516,-1.57425,0.00429429,-0.0103686,9.98628e-05,57,56,TAK,5.67455e-05,-0.00118199,1.33646e-06,23,22,TAK,-1.07054,0.535253,0.877362,228,227,227,NIE
,90,0.691321,0.566297,-0.00420381,0.0107489,0.000105697,35,34,TAK,-0.00090529,0.000959992,1.69161e-06,18,17,TAK,1.07054,-0.535253,0.877362,215,214,214,NIE
,91,1.40768,-1.20732,1.74842,-0.88268,0.298715,35,34,NIE,1.7477,-0.875209,0.29864,18,17,NIE,1.07055,-0.535288,0.877362,207,206,206,NIE
,92,-0.931998,-0.381024,-0.00458177,0.0105981,0.000105747,39,38,TAK,-0.000515844,-0.000483687,1.01565e-06,24,23,TAK,-1.07054,0.535253,0.877362,212,211,211,NIE
,93,0.707788,1.335,-0.0043614,0.010534,0.000103065,54,53,TAK,6.78282e-05,0.00154295,2.49456e-06,22,21,TAK,1.07054,-0.535253,0.877362,225,224,224,NIE
,94,1.515,0.68774,1.74665,-0.864511,0.298721,53,52,NIE,1.74733,-0.871552,0.298643,20,19,NIE,1.74755,-0.873757,0.298638,221,220,220,NIE
,95,0.421671,1.22085,-0.00424438,0.0102483,9.75588e-05,55,54,TAK,-2.40815e-05,0.00139938,1.92572e-06,22,21,TAK,4.55432e-06,1.76567e-05,4.33658e-10,219,218,218,TAK
,96,0.939079,-1.11074,0.00410721,-0.00990919,9.12309e-05,70,69,TAK,nan,nan,nan,10000,10000,NIE,1.07054,-0.535289,0.877362,203,202,202,NIE
,97,-0.146072,-0.569221,0.00436686,-0.0105533,0.000103426,46,45,TAK,-3.36411e-05,-0.00155594,2.47555e-06,20,19,TAK,-4.49379e-06,-1.80709e-05,4.48154e-10,203,202,202,TAK
,98,-1.13777,-1.85284,0.00412287,-0.00996396,9.21963e-05,55,54,TAK,0.00152048,-0.00197446,5.5201e-06,19,18,TAK,-1.07054,0.535252,0.877362,230,229,229,NIE
,99,1.38915,-0.0125949,1.74667,-0.864804,0.298716,48,47,NIE,1.74756,-0.871636,0.298643,17,16,NIE,1.07055,-0.535255,0.877362,204,203,203,NIE
