==========================================;;;;;;;
Metoda Hooke'a-Jeevesa;;;;;;;
==========================================;;;;;;;
;;;;;;;
--- Krok startowy s = 1.000000 ---;;;;;;;
--- Tabela 1 (dane surowe) ---;;;;;;;
x1_start;x2_start;x1_opt;x2_opt;y_opt;f_calls;flag;
-0.906836;-0.349884;-0.774512;-0.000116;0,619839; ;91;1
0.321283;0.442356;0.774594;0.774885;1,23968; ;61;1
-0.502656;-0.749385;0.000420;-0.774581;0,619843; ;71;1
-0.374886;0.027076;0.000114;-0.000278;2,87E-06; ;55;1
0.446188;0.349505;0.774768;0.774068;1,23969; ;79;1
-0.540254;-0.728199;-0.000590;-0.774629;0,619849; ;59;1
-0.197116;0.771677;0.000312;0.775213;0,619848; ;77;1
0.202888;0.349107;0.774947;0.775032;1,23968; ;85;1
0.311310;-0.275648;0.774457;-0.000771;0,619858; ;87;1
0.062087;-0.540429;0.000525;-0.000225;1,04E-05; ;59;1
-0.040353;-0.493686;0.000894;-0.000234;2,72E-05; ;63;1
-0.639480;0.040770;0.000311;-0.000266;5,34E-06; ;91;1
0.083481;-0.725782;-0.000096;-0.773749;0,619867; ;57;1
0.025447;0.662860;0.000046;0.774893;0,619838; ;69;1
0.871388;0.089101;0.774701;0.000231;0,619839; ;63;1
0.012444;-0.400266;0.000449;-0.000286;9,02E-06; ;85;1
0.990796;-0.475984;0.774844;0.000208;0,619839; ;95;1
0.634889;0.744086;0.774106;0.774612;1,23969; ;67;1
0.788368;-0.103389;0.774600;-0.000793;0,619858; ;53;1
0.991454;0.417164;0.774653;0.774601;1,23967; ;75;1
0.020553;0.633680;0.000338;0.774894;0,619842; ;71;1
0.124226;-0.984045;-0.000350;-0.774588;0,619842; ;93;1
-0.753948;-0.455101;-0.775492;0.000176;0,619857; ;73;1
0.710731;-0.560402;0.774456;-0.000317;0,619842; ;71;1
-0.390944;0.704033;-0.000501;0.775029;0,619848; ;75;1
0.694795;0.580522;0.774740;0.774765;1,23967; ;75;1
0.917241;0.558335;-0.000523;0.775305;0,619857; ;117;1
0.397533;-0.314276;0.774510;-0.000412;0,619844; ;89;1
0.466293;-0.668267;0.775408;0.775004;1,23969; ;69;1
0.151325;0.940993;-0.000677;0.774598;0,619852; ;69;1
0.645258;0.070108;0.774192;-0.000218;0,619847; ;83;1
0.270082;0.546539;0.775726;0.774119;1,23972; ;73;1
-0.845604;0.039876;-0.774595;-0.000159;0,619838; ;59;1
-0.489271;0.390952;0.000036;0.773987;0,619854; ;61;1
-0.623923;0.492935;0.000472;0.775018;0,619847; ;89;1
0.063553;0.715887;0.000472;0.775261;0,619854; ;79;1
0.344435;0.747803;0.774281;0.774469;1,23968; ;91;1
-0.943001;0.682899;-0.775109;0.774770;1,23968; ;69;1
0.863324;0.089552;0.774948;0.000448;0,619845; ;55;1
-0.047075;-0.066111;0.000406;0.000192;6,42E-06; ;75;1
-0.599774;0.113722;-0.000200;-0.000414;6,74E-06; ;75;1
0.171220;0.345071;0.000019;0.774804;0,619837; ;73;1
0.493013;-0.885838;0.774751;0.774696;1,23967; ;99;1
0.241270;-0.489311;0.775518;-0.000482;0,619865; ;63;1
-0.649387;-0.856463;-0.000377;-0.775092;0,619846; ;65;1
0.296840;0.686550;0.774907;0.775024;1,23968; ;51;1
0.164193;-0.702070;0.000083;-0.774833;0,619838; ;73;1
-0.213582;0.005587;-0.000647;0.000008;1,33E-05; ;75;1
0.252323;0.265982;0.774992;0.774482;1,23968; ;57;1
-0.241059;-0.346476;0.000222;-0.000153;2,32E-06; ;85;1
0.895812;0.797747;0.000361;0.774603;0,619842; ;69;1
0.482436;-0.461271;0.774659;0.000351;0,619841; ;77;1
-0.297978;0.976129;0.000595;-0.000411;1,67E-05; ;87;1
0.606997;0.601688;0.774921;0.774875;1,23968; ;71;1
-0.814154;0.649013;-0.775786;0.774301;1,23972; ;67;1
0.558564;0.265216;0.775415;0.775074;1,23969; ;91;1
-0.007586;0.261120;0.000115;0.774804;0,619838; ;61;1
-0.434990;0.532575;-0.000051;0.000156;8,61E-07; ;75;1
-0.316873;-0.872034;-0.000398;-0.774478;0,619844; ;75;1
0.393081;-0.955345;0.775072;-0.774831;1,23968; ;87;1
0.442958;0.242646;0.775059;0.774860;1,23968; ;63;1
0.313480;0.035846;0.774540;0.000089;0,619838; ;95;1
-0.392573;-0.832245;0.000594;-0.774754;0,619848; ;77;1
-0.350904;0.336325;0.000360;0.775083;0,619846; ;83;1
-0.001847;-0.249924;-0.000104;0.000079;5,39E-07; ;61;1
